RegNo,COURSE,COURSE_UNIT,SEMESTER,TEST,COURSE_WORK,EXAM,GRADE POINT,Gender
2792,CEE,INTRODUCTION TO ELECTRONICS,1,14,13,28,C,male
2792,CEE,INTRODUCTION TO BUSINESS ADMINISTRATION,1,17,15,41,B,male
2792,CEE,INSTALLATION PRACTICE I,1,18,18,46,A,male
2792,CEE,ENGINEERING DRAWING I,1,17,15,43,B+,male
2792,CEE,TECHNICIAN MATH I,1,14,14,0,F,male
2869,DAD,ENGINEERING DRAWING,1,17,15,55,A,male
2869,DAD,CONSTRUCTION TECHNIQUE I,1,12,9,41,C+,male
2869,DAD,ENGINEERING SURVEY,1,15,13,56,A,male
2869,DAD,STUDIO 1,1,17,14,52,A,male
2583,DPRM,ANALOGE ELECTRONICS I,3,18,18,50,A,male
2583,DPRM,DIGITAL ELECTRONICS I,3,17,16,48,A,male
2583,DPRM,ENGINEERING DRAWING,3,18,15,51,A,male
2583,DPRM,ANALOG AND DIGITAL ELECTRONICS PRACTICE,3,19,20,52,A,male
2801,DGDD,DRAWING I,1,18,14,46,B+,male
2801,DGDD,DESIGN PRINCIPLES,1,10,8,46,C+,male
2801,DGDD,BUSINESS COMMUNICATION SKILL,1,13,15,39,B-,male
2801,DGDD,COREL DRAWING,1,15,13,44,B,male
2801,DGDD,DRAWING FOR GRAPHICS`,1,20,15,35,B,male
2801,DGDD,ICT FUNDAMENTAL,1,13,17,48,B+,male
2801,DGDD,ENGLISH,1,14,10,37,C+,male
2663,DGDD,ICT FUNDAMENTAL,1,4,17,49,B,male
2663,DGDD,DRAWING I,1,4,1,36,F,male
2663,DGDD,DESIGN PRINCIPLES,1,10,10,1,F,male
2663,DGDD,DRAWING FOR GRAPHICS,1,15,20,21,C,male
2663,DGDD,COREL DRAW,1,18,19,52,A,male
2663,DGDD,ENGLISH,1,15,20,14,D+,male
2764,DGDD,DRAWING I,1,13,17,47,B+,female
2764,DGDD,DESIGN ELEMENTS,1,17,10,49,B+,female
2764,DGDD,BUSINESS COMMUNICATION SKILL,1,8,6,55,B-,female
2764,DGDD,ICT FUNDAMENTAL,1,18,6,52,B+,female
2764,DGDD,COREL DRAW,1,18,15,45,B+,female
2764,DGDD,DRAWING FOR GRAPHICS,1,15,20,35,B,female
2765,DGDD,DRAWING I,1,11,17,36,C+,male
2765,DGDD,DESIGN PRINCIPLES,1,10,9,31,C-,male
2765,DGDD,BUSINESS COMMUNICATION SKILL,1,7,7,26,F,male
2765,DGDD,ICT FUNDAMENTAL,1,20,16,41,B+,male
2765,DGDD,COREL DRAW,1,17,11,36,C+,male
2765,DGDD,DRAWING FOR GRAPHICS,1,19,8,34,C+,male
2784,DGDD,DRAWING I,1,18,6,33,C,female
2784,DGDD,DESIGN PRINCIPLES,1,15,13,37,B-,female
2784,DGDD,BUSINESS COMMUNICATION SKILL,1,12,8,33,C-,female
2784,DGDD,ICT FUNDAMENTAL,1,6,14,37,C,female
2784,DGDD,COREL DRAWING,1,18,5,41,C+,female
2784,DGDD,DRAWING FOR GRAPHICS,1,11,18,31,C+,female
2783,DGDD,DRAWING I,1,16,14,45,B+,male
2783,DGDD,DESIGN PRINCIPLES,1,13,17,39,B-,male
2783,DGDD,BUSINESS COMMUNICATION SKILL,1,18,8,43,B-,male
2783,DGDD,ICT FUNDAMENTAL,1,19,18,43,A,male
2783,DGDD,COREL DRAW,1,17,12,51,A,male
2783,DGDD,DRAWING FOR GRAPHICS,1,18,17,32,B-,male
