STUDENT_ID,COURSE,COURSE_UNIT,SEMESTER,TEST,COURSE_WORK,EXAM,GRADE_POINT,GENDER
2741,DGDD,DRAWING I,1,18,14,42,B,M
2741,DGDD,INDESIGN,1,17,15,43,B+,M
2741,DGDD,BUSINESS COMMUNICATION SKILL,1,12,20,54,A,M
2741,DGDD,CORELDRAW,1,18,20,35,B,M
2741,DGDD,DRAWING FOR GRAPHICS,1,12,20,58,A,M
2741,DGDD,ICT FUNDAMENTAL,1,17,14,41,B,M
2741,DGDD,ENGLISH,1,19,14,37,B,M
2765,DGDD,DRAWING I,1,11,17,36,C+,F
2765,DGDD,DESIGN PRINCIPLES,1,10,9,31,C-,F
2765,DGDD,BUSINESS COMMUNICATION SKILL,1,7,7,26,F,F
2765,DGDD,ICT FUNDAMENTAL,1,20,16,41,B+,F
2765,DGDD,CORELDRAW,1,17,11,36,C+,F
2765,DGDD,DRAWING FOR GRAPHICS,1,19,8,34,C+,F
2765,DGDD,ENGLISH,1,20,17,36,B,F
2871,DGDD,ICT FUNDAMENTAL,1,18,17,48,A,F
2871,DGDD,CORELDRAW,1,12,20,40,B,F
2871,DGDD,DRAWING FOR GRAPHICS,1,11,20,41,B,F
2871,DGDD,ENGLISH,1,10,9,56,B+,F
2871,DGDD,DRAWING I,1,19,14,51,A,F
2871,DGDD,BUSINESS COMMUNICATION SKILL,1,16,19,40,B+,F
2871,DGDD,DESIGN PRINCIPLES,1,16,15,53,A,F
2854,DGDD,DRAWING I,1,19,7,41,B-,F
2854,DGDD,BUSINESS COMMUNICATION SKILL,1,19,17,42,B+,F
2854,DGDD,DESIGN PRINCIPLES,1,15,10,35,C+,F
2854,DGDD,ICT FUNDAMENTAL,1,18,14,35,B-,F
2854,DGDD,CORELDRAW,1,20,14,26,C+,F
2854,DGDD,ENGLISH,1,10,10,46,B-,F
2836,DGDD,ICT FUNDAMENTAL,1,18,14,37,B-,F
2836,DGDD,CORELDRAW,1,20,11,36,B-,F
2836,DGDD,DRAWING FOR GRAPHICS,1,13,20,38,B,F
2836,DGDD,ENGLISH,1,10,10,46,B-,F
2836,DGDD,DRAWING I,1,16,10,42,B-,F
2836,DGDD,BUSINESS COMMUNICATION SKILL,1,20,19,50,A,F
2836,DGDD,DESIGN PRINCIPLES,1,18,8,47,B,F
2862,DGDD,DRAWING I,1,10,9,37,C,F
2862,DGDD,BUSINESS COMMUNICATION SKILL,1,8,10,42,C+,F
2862,DGDD,DESIGN PRINCIPLES,1,10,9,39,C,F
2862,DGDD,CORELDRAW,1,15,10,21,D+,F
2862,DGDD,DRAWING FOR GRAPHICS,1,10,19,35,C+,F
2862,DGDD,ENGLISH,1,5,10,39,C-,F
2862,DGDD,ICT FUNDAMENTAL,1,16,16,48,A,F
2844,DGDD,ICT FUNDAMENTAL,1,18,19,47,A,M
2844,DGDD,DRAWING I,1,15,12,34,C+,M
2844,DGDD,BUSINESS COMMUNICATION SKILL,1,17,10,53,A,M
2844,DGDD,DESIGN PRINCIPLES,1,10,11,40,C+,M
2844,DGDD,CORELDRAW,1,20,15,26,C+,M
2844,DGDD,DRAWING FOR GRAPHICS,1,20,11,42,B,M
2844,DGDD,ENGLISH,1,9,10,54,B,M
2837,DGDD,DRAWING I,1,10,9,29,D+,F
2837,DGDD,ICT FUNDAMENTAL,1,14,17,39,B,F
2837,DGDD,DESIGN PRINCIPLES,1,10,5,43,C,F
2837,DGDD,CORELDRAW,1,15,10,15,F,F
2837,DGDD,DRAWING FOR GRAPHICS,1,13,20,44,B+,F
2837,DGDD,ENGLISH,1,15,17,38,B,F
2837,DGDD,BUSINESS COMMUNICATION SKILL,1,12,5,30,D+,F
2805,CGDD,INDESIGN I,1,10,6,23,F,F
2805,CGDD,BUSINESS COMMUNICATION SKILL,1,5,6,25,F,F
2805,CGDD,ICT FUNDAMENTAL,1,14,15,32,C+,F
2805,CGDD,ENGLISH,1,18,15,25,C,F
2805,CGDD,CORELDRAW,1,10,15,14,F,F
2858,CGDD,DRAWING I,1,16,10,38,C+,M
2858,CGDD,INDESIGN I,1,10,13,25,D+,M
2858,CGDD,ICT FUNDAMENTAL,1,12,15,33,C+,M
2858,CGDD,CORELDRAW,1,15,10,1,F,M
2858,CGDD,ENGLISH,1,20,14,30,C+,M
2858,CGDD,BUSINESS COMMUNICATION SKILL,1,1,1,1,F,M
2851,CGDD,BUSINESS COMMUNICATION SKILL,1,12,8,44,C+,F
2851,CGDD,INDESIGN I,1,17,15,43,B+,F
2851,CGDD,DRAWING I,1,16,9,42,B-,F
2851,CGDD,ICT FUNDAMENTAL,1,17,15,43,B+,F
2851,CGDD,CORELDRAW,1,20,18,42,A,F
2851,CGDD,ENGLISH,1,20,16,44,A,F
2870,CGDD,DRAWING I,1,17,11,41,B-,F
2870,CGDD,BUSINESS COMMUNICATION SKILL,1,19,10,56,A,F
2870,CGDD,INDESIGN I,1,10,14,22,D+,F
2870,CGDD,CORELDRAW,1,15,20,19,C-,F
2870,CGDD,ENGLISH,1,20,16,42,B+,F
